field_name,used_by,description,example_from_topogram_sample
id,node exporter (nodes) | edge exporter (edges),Unique identifier for node or edge. For function/module nodes builder uses 'module:...' or 'function:...'. Must be stable and string. ,"module:imports/api/Jobs.js" or "module:imports/api/Jobs.js->function:..."
name,nodes/edges,label-variant often unused by builder; free-form display name if available.,"Alice"
label,nodes/edges,Primary short human-readable label. For functions builder appends '()' when producing Topogram CSV.,"imports/api/Jobs.js"
description,nodes/edges,Type or long description. For nodes: node.type (module/function/package) or custom description.,"module"
color,nodes/edges,Color used for display; hex or CSS color. Builder chooses defaults if missing.,"#1f77b4"
fillColor,nodes/edges,Fill color variant for nodes; often same as color.,"#1f77b4"
weight,nodes,Outgoing count or importance weight (numeric). Builder writes outgoing count for nodes.,"12"
rawWeight,nodes,Raw numeric metric used to compute size if present; otherwise mirrors weight.,"12"
lat,nodes,Geographic latitude when present (Topogram geo). Not used by dependency graph builder but included in header.,"40.7128"
lng,nodes,Geographic longitude when present. Not used by dependency graph builder but included in header.,"-74.0060"
start,nodes/time,Start time (range) for timeline nodes. Not used by dependency graph builder but included.,"2019-05-01"
end,nodes/time,End time (range) for timeline nodes.,"2020-05-01"
time,nodes/time,Single timestamp if applicable.,"2019-11-11"
date,nodes/time,Alternate date field (string).,"2019-11-11"
source,edges,Edge source id (must match a node.id). For dependency graphs it's the graph edge.source value.,"module:imports/api/Jobs.js"
target,edges,Edge target id (must match a node.id). For dependency graphs it's the graph edge.target value.,"package:lodash"
edgeLabel,edges,Human label for the edge (display). Often empty in dependency graph CSV.,"calls"
edgeColor,edges,Optional color for the edge stroke.,"#9e9e9e"
edgeWeight,edges,Numeric weight for edge thickness. Dependency exporter uses edge.pathLength (numeric). Ensure numeric (no NaN).,"1"
relationship,edges,Semantic relationship: 'calls', 'imports', 'contains', etc. Builder maps edge.type into friendly terms.,"imports"
enlightement,edges,Optional visualization hint (e.g., 'arrow' to render arrowheads). Builder may pass through edge.data.enlightement.,"arrow"
emoji,nodes/edges,Optional emoji to show with label.,"🌟"
extra,nodes/edges,Free JSON-stringified payload: builder places the original node/edge object here for traceability. Keep as JSON string.,"{...}"
